gene,Type,condition,N,NonZero,Min,Max,Mean,Median,Mean_log10,Median_log10,Dataset
UniRef90_A0A1Q8WM28,Antitoxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_A0A1Q8WM28,Antitoxin,Caries-Fl,11,1,0,21.054964539,1.9140876853636364,0,-1.6978581152393428,-2,Dieguez
UniRef90_A0A1Q8WM28,Antitoxin,Caries-Fl-Ar,17,3,0,128.5041982216,8.476633695552941,0,-1.4209690386654743,-2,Dieguez
UniRef90_A0A1Q8WM28,Antitoxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_A0A1Q8WM28,Antitoxin,Healthy-Fl,17,2,0,267.7998489939,16.97524764477059,0,-1.5443724891405763,-2,Dieguez
UniRef90_A0A1Q8WM28,Antitoxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_C9MWN9,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_C9MWN9,Toxin,Caries-Fl,11,1,0,29.6296296296,2.6936026936,0,-1.6843752025007908,-2,Dieguez
UniRef90_C9MWN9,Toxin,Caries-Fl-Ar,17,1,0,16.393442623,0.9643201542941175,0,-1.8108861762437145,-2,Dieguez
UniRef90_C9MWN9,Toxin,Healthy-Baseline,6,1,0,8.064516129,1.3440860215,0,-1.5154805822693753,-2,Dieguez
UniRef90_C9MWN9,Toxin,Healthy-Fl,17,4,0,22.0586007333,3.187507823017647,0,-1.272902251253371,-2,Dieguez
UniRef90_C9MWN9,Toxin,Healthy-Fl-Ar,18,1,0,13.4530951515,0.7473941750833333,0,-1.8261586158214411,-2,Dieguez
UniRef90_D2ENY9,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_D2ENY9,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_D2ENY9,Toxin,Caries-Fl-Ar,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_D2ENY9,Toxin,Healthy-Baseline,6,1,0,48.2558139535,8.042635658916668,0,-1.386060060913442,-2,Dieguez
UniRef90_D2ENY9,Toxin,Healthy-Fl,17,3,0,62.1948223904,6.5907869054647055,0,-1.3772109631665783,-2,Dieguez
UniRef90_D2ENY9,Toxin,Healthy-Fl-Ar,18,2,0,40,3.0189735330055556,0,-1.6244963021833951,-2,Dieguez
UniRef90_D3QZD1,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_D3QZD1,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_D3QZD1,Toxin,Caries-Fl-Ar,17,5,0,79.6654558088,9.73225562292353,0,-0.9973997134145772,-2,Dieguez
UniRef90_D3QZD1,Toxin,Healthy-Baseline,6,2,0,53.5370016726,10.121874379483334,0,-0.9022793987096881,-2,Dieguez
UniRef90_D3QZD1,Toxin,Healthy-Fl,17,2,0,74.8502026242,8.166179631211765,0,-1.5482159904728179,-2,Dieguez
UniRef90_D3QZD1,Toxin,Healthy-Fl-Ar,18,3,0,54.7261612675,6.308382294205556,0,-1.4106634042455748,-2,Dieguez
UniRef90_E7RTK5,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTK5,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTK5,Toxin,Caries-Fl-Ar,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTK5,Toxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTK5,Toxin,Healthy-Fl,17,1,0,17.2045387563,1.0120316915470589,0,-1.809653212307228,-2,Dieguez
UniRef90_E7RTK5,Toxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTK6,Antitoxin,Caries-Baseline,7,1,0,8.6206896552,1.2315270936,0,-1.5805649285134404,-2,Dieguez
UniRef90_E7RTK6,Antitoxin,Caries-Fl,11,1,0,27.7539986483,2.523090786209091,0,-1.6869561804921325,-2,Dieguez
UniRef90_E7RTK6,Antitoxin,Caries-Fl-Ar,17,1,0,4.6948356808,0.27616680475294114,0,-1.8427915023509633,-2,Dieguez
UniRef90_E7RTK6,Antitoxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTK6,Antitoxin,Healthy-Fl,17,1,0,34.5577211394,2.032807125847059,0,-1.7918428970689046,-2,Dieguez
UniRef90_E7RTK6,Antitoxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTY9,Antitoxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTY9,Antitoxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTY9,Antitoxin,Caries-Fl-Ar,17,1,0,5.412729803,0.3183958707647059,0,-1.8391636490886971,-2,Dieguez
UniRef90_E7RTY9,Antitoxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTY9,Antitoxin,Healthy-Fl,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RTY9,Antitoxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYC5,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYC5,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYC5,Toxin,Caries-Fl-Ar,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYC5,Toxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYC5,Toxin,Healthy-Fl,17,2,0,44.1176470588,2.8454686004529415,0,-1.6309022174483676,-2,Dieguez
UniRef90_E7RYC5,Toxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYK2,Antitoxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYK2,Antitoxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYK2,Antitoxin,Caries-Fl-Ar,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYK2,Antitoxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_E7RYK2,Antitoxin,Healthy-Fl,17,1,0,23.9563794181,1.4091987893,0,-1.8011998570313832,-2,Dieguez
UniRef90_E7RYK2,Antitoxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_Q7P822,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_Q7P822,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_Q7P822,Toxin,Caries-Fl-Ar,17,1,0,16.2601626016,0.9564801530352942,0,-1.8110945945156822,-2,Dieguez
UniRef90_Q7P822,Toxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_Q7P822,Toxin,Healthy-Fl,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_Q7P822,Toxin,Healthy-Fl-Ar,18,2,0,17.2811059908,1.8561187916055557,0,-1.6419055409678032,-2,Dieguez
UniRef90_U2R544,Antitoxin,Caries-Baseline,7,1,0,22.7665165165,3.252359502357143,0,-1.5203589567138982,-2,Dieguez
UniRef90_U2R544,Antitoxin,Caries-Fl,11,1,0,6.3291139241,0.5753739930999999,0,-1.7452701311986984,-2,Dieguez
UniRef90_U2R544,Antitoxin,Caries-Fl-Ar,17,2,0,37.181663837,2.557116000770588,0,-1.6253095021607453,-2,Dieguez
UniRef90_U2R544,Antitoxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_U2R544,Antitoxin,Healthy-Fl,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_U2R544,Antitoxin,Healthy-Fl-Ar,18,2,0,12.3868691517,1.0289910264944444,0,-1.6732315701907954,-2,Dieguez
UniRef90_UPI0009F878EB,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI0009F878EB,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI0009F878EB,Toxin,Caries-Fl-Ar,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI0009F878EB,Toxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI0009F878EB,Toxin,Healthy-Fl,17,1,0,6.0606060606,0.3565062388588235,0,-1.836280467579592,-2,Dieguez
UniRef90_UPI0009F878EB,Toxin,Healthy-Fl-Ar,18,1,0,6.0975609756,0.33875338753333334,0,-1.8452295660277513,-2,Dieguez
UniRef90_UPI000E0D5AAB,Toxin,Caries-Baseline,7,1,0,9.0293913823,1.2899130546142856,0,-1.5776944013386451,-2,Dieguez
UniRef90_UPI000E0D5AAB,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI000E0D5AAB,Toxin,Caries-Fl-Ar,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI000E0D5AAB,Toxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI000E0D5AAB,Toxin,Healthy-Fl,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_UPI000E0D5AAB,Toxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_W2VC95,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_W2VC95,Toxin,Caries-Fl,11,0,0,0,0,0,-2,-2,Dieguez
UniRef90_W2VC95,Toxin,Caries-Fl-Ar,17,1,0,4.5248868778,0.2661698163411765,0,-1.8437313848171555,-2,Dieguez
UniRef90_W2VC95,Toxin,Healthy-Baseline,6,1,0,4.5662100457,0.7610350076166666,0,-1.556582341643833,-2,Dieguez
UniRef90_W2VC95,Toxin,Healthy-Fl,17,0,0,0,0,0,-2,-2,Dieguez
UniRef90_W2VC95,Toxin,Healthy-Fl-Ar,18,0,0,0,0,0,-2,-2,Dieguez
UniRef90_X8HWZ7,Toxin,Caries-Baseline,7,0,0,0,0,0,-2,-2,Dieguez
UniRef90_X8HWZ7,Toxin,Caries-Fl,11,4,0,25.641025641,7.289900097236363,0,-0.8025513169458859,-2,Dieguez
UniRef90_X8HWZ7,Toxin,Caries-Fl-Ar,17,3,0,61.8856794935,5.033202448011765,0,-1.4171219467879124,-2,Dieguez
UniRef90_X8HWZ7,Toxin,Healthy-Baseline,6,0,0,0,0,0,-2,-2,Dieguez
UniRef90_X8HWZ7,Toxin,Healthy-Fl,17,1,0,25.7667169432,1.5156892319529411,0,-1.7993395527920857,-2,Dieguez
UniRef90_X8HWZ7,Toxin,Healthy-Fl-Ar,18,6,0,48.223173248,8.606287609,0,-0.8847876819311631,-2,Dieguez
UniRef90_A0A1Q8WM28,Antitoxin,Caries-CAa,5,2,0,43.1851823249,13.06030137212,0,-0.6039310820888344,-2,Ev
UniRef90_A0A1Q8WM28,Antitoxin,Caries-CAi,5,1,0,20.4102884515,4.0820576903,0,-1.3379876254957574,-2,Ev
UniRef90_A0A1Q8WM28,Antitoxin,Caries-CAs,5,1,0,21.5053763441,4.30107526882,0,-1.3334502105787398,-2,Ev
UniRef90_A0A1Q8WM28,Antitoxin,Healthy-CF,6,2,0,21.5053763441,6.616788043116666,0,-0.9011753290845775,-2,Ev
UniRef90_A0A1Q8WM28,Antitoxin,Healthy-CI,3,1,0,39.7470950103,13.2490316701,0,-0.8001951187814468,-2,Ev
UniRef90_C7NBR1,Toxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_C7NBR1,Toxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_C7NBR1,Toxin,Caries-CAs,5,2,0,15.3846153846,3.9658119658,0,-0.8327675220256323,-2,Ev
UniRef90_C7NBR1,Toxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_C7NBR1,Toxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_C9MWN9,Toxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_C9MWN9,Toxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_C9MWN9,Toxin,Caries-CAs,5,0,0,0,0,0,-2,-2,Ev
UniRef90_C9MWN9,Toxin,Healthy-CF,6,1,0,8.064516129,1.3440860215,0,-1.5154805822693753,-2,Ev
UniRef90_C9MWN9,Toxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_D2ENY9,Toxin,Caries-CAa,5,2,0,23.5294117647,7.28652751424,0,-0.703433929748929,-2,Ev
UniRef90_D2ENY9,Toxin,Caries-CAi,5,1,0,3276.7839941899,655.35679883798,0,-0.8969101722056013,-2,Ev
UniRef90_D2ENY9,Toxin,Caries-CAs,5,0,0,0,0,0,-2,-2,Ev
UniRef90_D2ENY9,Toxin,Healthy-CF,6,2,0,4030.3814222301,720.3042367580333,0,-0.3216804594278475,-2,Ev
UniRef90_D2ENY9,Toxin,Healthy-CI,3,2,0,7250.0624466184,2435.9286746180665,57.7235772358,1.2072569379971456,1.761428467695008,Ev
UniRef90_D3QZD1,Toxin,Caries-CAa,5,3,0,125.6289450608,38.40523478464,33.097404786,0.22832435177583799,1.5199251387317332,Ev
UniRef90_D3QZD1,Toxin,Caries-CAi,5,3,0,89.353672224,26.555960177259998,14.4406214159,0.11467564819355314,1.159886523334333,Ev
UniRef90_D3QZD1,Toxin,Caries-CAs,5,1,0,115.4852849734,23.09705699468,0,-1.1874871490449856,-2,Ev
UniRef90_D3QZD1,Toxin,Healthy-CF,6,1,0,28.3816425121,4.730273752016667,0,-1.4244682469935641,-2,Ev
UniRef90_D3QZD1,Toxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTK5,Toxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTK5,Toxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTK5,Toxin,Caries-CAs,5,1,0,17.2043806423,3.44087612846,0,-1.3528217196394394,-2,Ev
UniRef90_E7RTK5,Toxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTK5,Toxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTK6,Antitoxin,Caries-CAa,5,1,0,34.188034188,6.837606837600001,0,-1.2931997715714716,-2,Ev
UniRef90_E7RTK6,Antitoxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTK6,Antitoxin,Caries-CAs,5,1,0,8.6956521739,1.7391304347799998,0,-1.412039737731464,-2,Ev
UniRef90_E7RTK6,Antitoxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTK6,Antitoxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTY9,Antitoxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTY9,Antitoxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTY9,Antitoxin,Caries-CAs,5,1,0,10.8320649417,2.1664129883400003,0,-1.392977599142915,-2,Ev
UniRef90_E7RTY9,Antitoxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RTY9,Antitoxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RVW1,Antitoxin,Caries-CAa,5,1,0,15.0945545682,3.01891091364,0,-1.364178415500519,-2,Ev
UniRef90_E7RVW1,Antitoxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RVW1,Antitoxin,Caries-CAs,5,3,0,90.2289645416,31.625702277720002,7.5757575758,0.12319073297625613,0.8799989594879638,Ev
UniRef90_E7RVW1,Antitoxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RVW1,Antitoxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RYC5,Toxin,Caries-CAa,5,1,0,14.7603485839,2.95206971678,0,-1.3661218510218642,-2,Ev
UniRef90_E7RYC5,Toxin,Caries-CAi,5,1,0,14.8148148148,2.96296296296,0,-1.3658021445898774,-2,Ev
UniRef90_E7RYC5,Toxin,Caries-CAs,5,1,0,55.6892503498,11.137850069959999,0,-1.250830129981901,-2,Ev
UniRef90_E7RYC5,Toxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RYC5,Toxin,Healthy-CI,3,1,0,4.2918454936,1.4306151645333334,0,-1.1221150639740143,-2,Ev
UniRef90_E7RYK2,Antitoxin,Caries-CAa,5,1,0,19.0476190476,3.8095238095200004,0,-1.3439862717267321,-2,Ev
UniRef90_E7RYK2,Antitoxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RYK2,Antitoxin,Caries-CAs,5,2,0,19.0476190476,7.583108715180001,0,-0.68879542262684,-2,Ev
UniRef90_E7RYK2,Antitoxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_E7RYK2,Antitoxin,Healthy-CI,3,1,0,38.0952380952,12.6984126984,0,-0.8063384401336982,-2,Ev
UniRef90_F3AZB3,Antitoxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_F3AZB3,Antitoxin,Caries-CAi,5,1,0,4.5045045045,0.9009009009,0,-1.4690779818616926,-2,Ev
UniRef90_F3AZB3,Antitoxin,Caries-CAs,5,0,0,0,0,0,-2,-2,Ev
UniRef90_F3AZB3,Antitoxin,Healthy-CF,6,1,0,24.3246787307,4.054113121783334,0,-1.4356290638316036,-2,Ev
UniRef90_F3AZB3,Antitoxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_Q7P822,Toxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_Q7P822,Toxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_Q7P822,Toxin,Caries-CAs,5,1,0,31.0134310134,6.202686202680001,0,-1.301662034677872,-2,Ev
UniRef90_Q7P822,Toxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_Q7P822,Toxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_UPI0009F878EB,Toxin,Caries-CAa,5,1,0,6.2111801242,1.24223602484,0,-1.4412254448363162,-2,Ev
UniRef90_UPI0009F878EB,Toxin,Caries-CAi,5,2,0,12.4223602484,4.95360785214,0,-0.762715959339257,-2,Ev
UniRef90_UPI0009F878EB,Toxin,Caries-CAs,5,0,0,0,0,0,-2,-2,Ev
UniRef90_UPI0009F878EB,Toxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_UPI0009F878EB,Toxin,Healthy-CI,3,1,0,23.7558155928,7.918605197600001,0,-0.8746824256801312,-2,Ev
UniRef90_UPI000E0D5AAB,Toxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_UPI000E0D5AAB,Toxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_UPI000E0D5AAB,Toxin,Caries-CAs,5,1,0,4.5248868778,0.90497737556,0,-1.4686867083783288,-2,Ev
UniRef90_UPI000E0D5AAB,Toxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_UPI000E0D5AAB,Toxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
UniRef90_W2VC95,Toxin,Caries-CAa,5,1,0,26.9437947583,5.38875895166,0,-1.3138760165847065,-2,Ev
UniRef90_W2VC95,Toxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_W2VC95,Toxin,Caries-CAs,5,0,0,0,0,0,-2,-2,Ev
UniRef90_W2VC95,Toxin,Healthy-CF,6,0,0,0,0,0,-2,-2,Ev
UniRef90_W2VC95,Toxin,Healthy-CI,3,1,0,9.153366009,3.051122003,0,-1.0126483220739335,-2,Ev
UniRef90_X8HWZ7,Toxin,Caries-CAa,5,0,0,0,0,0,-2,-2,Ev
UniRef90_X8HWZ7,Toxin,Caries-CAi,5,0,0,0,0,0,-2,-2,Ev
UniRef90_X8HWZ7,Toxin,Caries-CAs,5,1,0,16.2601626016,3.2520325203200002,0,-1.3577216213533196,-2,Ev
UniRef90_X8HWZ7,Toxin,Healthy-CF,6,3,0,42.9699568615,11.1949141674,4.34782608695,-0.37270206639870807,-0.5300993443286601,Ev
UniRef90_X8HWZ7,Toxin,Healthy-CI,3,0,0,0,0,0,-2,-2,Ev
